City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
176,constitucion,0.0,CL,1665343644.0,44.0,-35.3333,-72.4167,62.01,17.43
177,san patricio,66.0,US,1665343644.0,42.0,28.017,-97.5169,91.35,14.38
178,richards bay,100.0,ZA,1665343644.0,83.0,-28.783,32.0377,72.25,18.77
179,nikolskoye,0.0,RU,1665343645.0,88.0,59.7035,30.7861,46.8,6.6
180,la baneza,100.0,ES,1665343645.0,41.0,42.3003,-5.8977,68.68,7.29
181,tarakeswar,70.0,IN,1665343646.0,92.0,22.885,88.0172,77.31,5.7
182,puerto colombia,100.0,CO,1665343646.0,74.0,10.9878,-74.9547,86.09,4.34
183,faanui,4.0,PF,1665343646.0,73.0,-16.4833,-151.75,78.6,18.92
184,ribeira grande,40.0,PT,1665343652.0,88.0,38.5167,-28.7,74.77,10.36
185,san rafael,0.0,AR,1665343652.0,11.0,-34.6177,-68.3301,66.6,14.99
186,tuatapere,100.0,NZ,1665343652.0,79.0,-46.1333,167.6833,50.81,7.76
187,cape town,0.0,ZA,1665343477.0,74.0,-33.9258,18.4232,68.41,16.11
188,walvis bay,99.0,,1665343653.0,90.0,-22.9575,14.5053,58.82,5.97
189,shimoda,100.0,JP,1665343653.0,92.0,34.6667,138.95,61.11,10.47
190,taltal,24.0,CL,1665343654.0,69.0,-25.4,-70.4833,60.33,5.28
191,sayyan,3.0,YE,1665343654.0,25.0,15.1718,44.3244,60.6,6.42
192,cidreira,100.0,BR,1665343654.0,52.0,-30.1811,-50.2056,59.07,10.69
193,cap malheureux,87.0,MU,1665343655.0,70.0,-19.9842,57.6142,72.46,7.0
194,aguimes,75.0,ES,1665343655.0,73.0,27.9054,-15.4461,72.23,23.02
195,lorengau,87.0,PG,1665343655.0,72.0,-2.0226,147.2712,80.15,9.4
196,mugur-aksy,100.0,RU,1665343655.0,43.0,50.35,90.5,35.06,6.02
197,kaitangata,100.0,NZ,1665343656.0,81.0,-46.2817,169.8464,46.53,4.54
198,pangnirtung,75.0,CA,1665343656.0,64.0,66.1451,-65.7125,30.2,5.75
199,port hardy,100.0,CA,1665343656.0,100.0,50.6996,-127.4199,50.18,4.61
200,sivaki,23.0,RU,1665343657.0,65.0,52.6333,126.75,26.29,4.25
201,podgorica,0.0,ME,1665343657.0,82.0,42.4411,19.2636,58.78,4.61
202,bathsheba,40.0,BB,1665343658.0,79.0,13.2167,-59.5167,84.81,9.22
203,maceio,40.0,BR,1665343658.0,74.0,-9.6658,-35.7353,81.84,17.27
